family,method,backbone,ap,ap50,ap75,aps,apm,apl
Two-stage,Faster R-CNN w/ FPN,ResNet-101-FPN,36.2,59.1,39.0,18.2,39.0,48.2
Two-stage,Faster R-CNN by G-RMI,Inception-ResNet-v2,34.7,55.5,36.7,13.5,38.1,52.0
Two-stage,Faster R-CNN w/ TDM,Inception-ResNet-v2-TDM,36.8,57.7,39.2,16.2,39.8,52.1
One-stage,YOLOv2,DarkNet-19,21.6,44.0,19.2,5.0,22.4,35.5
One-stage,SSD513,ResNet-101-SSD,31.2,50.4,33.3,10.2,34.5,49.8
One-stage,DSSD513,ResNet-101-DSSD,33.2,53.3,35.2,13.0,35.4,51.1
One-stage,RetinaNet,ResNet-101-FPN,39.1,59.1,42.3,21.8,42.7,50.2
One-stage,CornerNet,Hourglass-104,40.5,56.5,43.1,19.4,42.7,53.9
One-stage,FSAF,ResNeXt-64x4d-101-FPN,42.9,63.8,46.3,26.6,46.2,52.7
One-stage,FCOS,ResNet-101-FPN,41.5,60.7,45.0,24.4,44.8,51.6
One-stage,FCOS,HRNet-W32-5l,42.0,60.4,45.3,25.4,45.0,51.0
One-stage,FCOS,ResNeXt-32x8d-101-FPN,42.7,62.2,46.1,26.0,45.6,52.6
One-stage,FCOS,ResNeXt-64x4d-101-FPN,43.2,62.8,46.6,26.5,46.2,53.3
One-stage,FCOS w/ improvements,ResNeXt-64x4d-101-FPN,44.7,64.1,48.4,27.6,47.5,55.6
